SpectraSuite数据文件
++++++++++++++++++++++++++++++++++++
数据: Mon Apr 27 19:05:07 CST 2026
用户: Administrator
暗光谱: 是
参考光谱: 是
光谱数量: 1
光谱仪: USB2+H12950
积分时间（微秒）: 100000 (USB2+H12950)
平均次数: 1 (USB2+H12950)
平滑度: 0 (USB2+H12950)
去除暗噪声: 否 (USB2+H12950)
使用脉冲信号/灯: 否 (USB2+H12950)
电子暗噪声校正: 否 (USB2+H12950)
杂散光校正: 否 (USB2+H12950)
光谱像素值: 2048
>>>>>Begin Processed Spectral Data<<<<<
190.29	50.41
190.67	50.41
191.05	50.41
191.44	12.60
191.82	-27.73
192.20	52.93
192.58	-15.12
192.96	-110.91
193.35	85.70
193.73	-75.62
194.11	-5.04
194.49	-110.91
194.87	-5.04
195.25	2.52
195.64	-12.60
196.02	-55.45
196.40	-98.30
196.78	-83.18
197.16	80.66
197.55	17.64
197.93	-52.93
198.31	-37.81
198.69	-73.10
199.07	27.73
199.45	-30.25
199.83	-2.52
200.22	10.08
200.60	-55.45
200.98	42.85
201.36	-37.81
201.74	73.10
202.12	-20.16
202.50	-22.69
202.88	-17.64
203.27	-47.89
203.65	-70.58
204.03	80.66
204.41	-35.29
204.79	-17.64
205.17	32.77
205.55	-12.60
205.93	-40.33
206.31	-2.52
206.70	50.41
207.08	-7.56
207.46	22.69
207.84	52.93
208.22	50.41
208.60	63.01
208.98	63.01
209.36	20.16
209.74	105.86
210.12	-15.12
210.50	52.93
210.88	2.52
211.26	75.62
211.64	80.66
212.02	-73.10
212.40	25.21
212.78	17.64
213.16	15.12
213.55	93.26
213.93	-15.12
214.31	35.29
214.69	-32.77
215.07	-30.25
215.45	22.69
215.83	55.45
216.21	73.10
216.59	-90.74
216.97	-75.62
217.35	-57.97
217.73	47.89
218.11	-100.82
218.49	-105.86
218.87	-55.45
219.25	-35.29
219.63	113.43
220.01	40.33
220.38	7.56
220.76	27.73
221.14	42.85
221.52	40.33
221.90	-27.73
222.28	-57.97
222.66	-78.14
223.04	-52.93
223.42	-50.41
223.80	52.93
224.18	-98.30
224.56	-17.64
224.94	45.37
225.32	12.60
225.70	-12.60
226.08	70.58
226.46	47.89
226.83	50.41
227.21	68.06
227.59	-47.89
227.97	93.26
228.35	-27.73
228.73	32.77
229.11	10.08
229.49	-90.74
229.87	22.69
230.25	-37.81
230.62	52.93
231.00	42.85
231.38	30.25
231.76	-30.25
232.14	-22.69
232.52	75.62
232.90	-22.69
233.28	-126.03
233.65	40.33
234.03	-30.25
234.41	73.10
234.79	-141.15
235.17	-10.08
235.55	7.56
235.92	15.12
236.30	5.04
236.68	-50.41
237.06	37.81
237.44	-2.52
237.82	15.12
238.19	50.41
238.57	50.41
238.95	10.08
239.33	-20.16
239.71	45.37
240.08	-20.16
240.46	47.89
240.84	-12.60
241.22	-42.85
241.60	12.60
241.97	-10.08
242.35	25.21
242.73	85.70
243.11	-2.52
243.48	17.64
243.86	85.70
244.24	22.69
244.62	-30.25
244.99	-30.25
245.37	98.30
